,,,,,,,,,,,,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note date,Local Management Notes,Days since contact
Sylvia,Visalia / Fresno / Bakersfield,LEO TIDWELL EXCAVATING ((SVA)),Active,Contacted,COLLECTION TEAM,WEEKLY,5/12/2026,"Alyssa asking for invoices, done",,,,8
Yareli,Fresno ,HP Communication SVA (At&t),Active,Uncollectable,COLLECTION TEAM,WEEKLY,4/1/2026,victoria is working on it,,2/18/25,Hammer- All invoices been approved and submitted to sage waitng for payment. Hp team following behind. Have a lunch meeting this friday.,49
Sylvia,Modesto,SEFNCO COMMUNICATIONS ATT MO,Active,Contacted,COLLECTION TEAM,PORTAL,1/8/2026,Called left phone message to call me back ,,,,132
Victoria,not on tcr TCS!!!!,MONARCH PIPELINE & HYDROVAC (CASH),ON HOLD,Roadblock,VP/HIGH LEVEL,BRANCH MANAGER!!!,4/1/2026,victoria is working on it ,,,,49
Lui,Fresno / Visalia ,BROWNING CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,sent open balance report. waiting for reply,,,,43
Sylvia,Fresno,DON PICKETT & ASSOCIATES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/13/2026,"$28,946.00, payment/Check should arrive at our bank on the 19th, account paying in full, per Victoria, (fresno account)",,,,7
Victoria,Fresno / Visalia / Bakersfield  ,A-C ELECTRIC,Active,Contacted,COLLECTION TEAM,PAID WHEN PAID ,5/6/2026,Hammer asked for status emailed for TCS and INC ,,06/27/2025,***per hammer they will be paying evey old invoice in tcs next week*** ,14
Sylvia,Fresno,KLASSEN CORPORATION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,following up again by the email thread regarding payment status on those past due invocies. (fresno account),,,,19
Ashley,OC ,VCI CONSTRUCTION LLC,Active,Roadblock,VP/HIGH LEVEL,BRANCH MANAGER!!!,4/1/2026,called requested payment.  kelly asked for a statement. system down. will work on it asap,do not call per jordan ,6/19/25,***ashley sent open bal to customer*** 12-4-24 some invoices need to be voided by victora.,49
Sylvia,Fresno,"WESTEC SYSTEMS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,Marinatte replied said payment of $395.00 Ck-63552 out last week on 4-6-26.,,,,37
Sylvia,Fresno,B&B CONSTRUCTION SERVICES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,following up with Lorena regarding payment on those March and April invoices. (fresno account),,3/18/25,,5
Josie,Visalia / Bakersfield ,FARWEST CORROSION CONTROL COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,Emailed Maria status report for both accounts waiting on response ,,,,1
Sylvia,Fresno,TODD COMPANIES,Active,Contacted,BRANCH MANAGER,WEEKLY,4/23/2026,"left message for Melissa, she was out for Lunch, sending her an email again following up on payment on the Feb-7 invoice for $13,790.00 (fresno account)",,,,27
Sylvia,Fresno,LEGACY,Active,Promise to Pay,BRANCH MANAGER,WEEKLY,4/9/2026,"( Branch Manager working on this Account ) -following up on payment on those February invoices with Accounting, waiting on a response.",,,,41
Sylvia,Fresno,HBC ENTERPRISES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,left message see if the April invoices was received. (fresno account),,,,19
Sylvia,Modesto,SEFNCO COMMUNICATIONS COMCAST (MODESTO),Active,Contacted,COLLECTION TEAM,WEEKLY,10/21/2025,they had issues with pictures & daily. all fixed and will receive payment in 10 days,,7/25/24,By @Abraham Vasquez...they make partial payments and will pay soon. 10-2-24 abraham got with matt he will be getting with there ap for update,211
Yareli,Fresno ,HP COMMUNICATION,Active,Uncollectable,VP/HIGH LEVEL,write off,4/1/2026,victoria is working on it,,,,49
Lui,Fresno,MASTEC (FRESNO),Active,Not Contacted,DO NOT CONTACT!,PORTAL,4/20/2026,made a payment,,,,30
Josie,Bakersfield ,MAC GENERAL ENGINEERING,Active,Contacted,COLLECTION TEAM,WEEKLY,5/18/2026,emailed asking for payment on invoice 00105547  waiting on response,,,,2
Lui,Fresno / Modesto,"JERRY'S TRENCHING SERVICE, INC.",Active,Roadblock,COLLECTION TEAM,WEEKLY,3/19/2026,requested update on payment. ,,,,62
Josie,O.C,"WAVEDIVISION HOLDINGS, LLC.",Active,Uncollectable,MOTION TO WRITE OFF,write off,4/16/2026,"Alli enail, requesting Benefits statement, Union Leters, Ayson working on it.",per seth need to clear get with accounting ,,,34
Sylvia,Fresno,TRI COUNTY EXCAVATION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,3/18/2026,"$1,540.00  Ck-12153 payment for those February invoices, per Mariana",,,,63
Sylvia,Fresno,"KATCH ENVIRONMENTAL, INC.",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/1/2026,calling Briana in A/P to make sure the April invoices were received. ,,,,19
Sylvia,Fresno,ASPHALT TECHNOLOGY INC,Active,Paid,COLLECTION TEAM,WEEKLY,5/15/2026,"Account paid in full, #00104736 for $6,840.00 is a VOIDED invoice, Victoria will clear",,,,5
Josie,,CALTRANS WH,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/2/2026,Reached out to Christine regarding writing off the balance it was a estimate  waiting for reply ,westren h to help ,,,107
Sylvia,Fresno,"FANCHER CREEK TOWN CENTER, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,"following up on the emil thread regarding payment with Adan, see if payment todya or next week as promise.",,,,19
Josie,Modesto ,ERNIE LANCASTER CONSTRUCTION,Active,Contacted,,WEEKLY,5/20/2026,Emailed Ernie open invoice waiting on response ,,,,0
Josie,Fresno ,SEFNCO COMMUNICATIONS ATT,Active,Uncollectable,VP/HIGH LEVEL,PORTAL,2/2/2026,Said she entered everything in the portal nothing so far ,,,,107
Lui,Fresno / OC / Bakesfield,Frontline Traffic Control,Active,Uncollectable,VP/HIGH LEVEL,write off,3/19/2026,requested update on payment. ,,07/02/2025,"07.02.2025- Left a message for Carlos, waiting for a call back.                                                                                                                                                                                                                                                                                                   06.13.2025- Carlos called and made a payment in the amount of $10,000. Stated they will try and make another payment next week.",62
Sylvia,Fresno,"JUAREZ BROTHERS GENERAL ENGINEERING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,"following up by email thread with Nancy, see if payment information on those March invoices. (fresno account)",,,,19
Sylvia,Fresno,CVIN LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,4/23/2026,emailed balance report to Accounting regarding those March invoices (fresno account),,,,27
Sylvia,,COOPER CHASE CONSTRUCTION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,3/13/2026,"$1,634.80 with Credit Card today for all invoices, per Veronica (fresno account)",,,,68
Sylvia,Fresno,"MP NEXLEVEL OF CALIFORNIA,INC",Active,Under Review,COLLECTION TEAM,WEEKLY,4/17/2026,"asking Accounting Vic/Logna to clear invoice #00104753 $831.60  void invoice on TCR,",,,,33
Sylvia,Fresno,SEFNCO COMMUNICATIONS COMCAST ((FRESNO)),Active,Uncollectable,MOTION TO WRITE OFF,WEEKLY,10/21/2025,will receive payment in 10 days,,8/28/24,Met with Matt GM In Fresno Office 8-28-24 went over the past due invoices  some invoices got debriefed payment should come in 45days. there was some duplicated invoices that we resolved.,211
Josie,Fresno ,"GEOMETRIC CONSTRUCTION, INC.",Active,Paid,COLLECTION TEAM,WEEKLY,5/19/2026,"Paid 5/18/26  $3,969.16 Check # 2105",,,,1
Lui,Fresno / Visalia / Modesto / Bakersfield ,"SIERRA CONSTRUCTION & EXCAVATION, INC.",Active,Contacted,COLLECTION TEAM,MONTHLY,3/11/2026,sent open balance. kelly is working on payment,,,,70
Lui,Fresno / Sacramento,ONSITE COMMERCIAL SERVICES INC.,Active,Uncollectable,VP/HIGH LEVEL,write off,12/8/2025,"per customer ""You guys are paid in full. We received a credit from you guys for the $300, and the $3184 invoice was rejected due to no back up documentation that is required for payment, and the customer has since closed this project out.""",no com from branch!!!! abrahem to reach out. (customer aproved 3 of 4 invoices should see payment next frioday still working on one),,Talked to Samantha Operations Coordinator she said her billing team is behind on processing some of the invoices recieved but tomorrow she will get with her team and get back to me. ,163
Sylvia,Modesto,"SLE CONSTRUCTION, INC.",Active,Paid,COLLECTION TEAM,WEEKLY,4/22/2026,"$790.00 with Credti Card today per Loyd, account paid in full (modesto account)",,,,28
Sylvia,Modesto,"RIVERBANK 108, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/22/2026,"$18,175.00 Ck-10456 payment out on Monday per Sanna, account paid in full. (Modesto Account)",,,,28
Lui,Visalia / Modesto / Bakesfield / Fresno,"RUBEN'S PIPELINE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,sent open balance report. waiting for reply,,,,43
Lui,Modesto,WIRING CONNECTIONS INC. (MODESTO),Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,"made a payment monday (18,655.00) & (2,250.20)",,2/11/25,(DH) WC's is being reached out to by accounting dept to see which invoices they would like to apply $6000 credit to,37
Sylvia,Fresno,TITAN UTILITIES INC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/19/2026,"email Jessica/Luz offer a 3% discount if balance is paid in full ASAP.  -talk to Jessica, making sure invoices received, Januray-31 and February-7 invoices, (asking for approval to offer a discount for early payment)",,,,90
Josie,Fresno ,"UNWIRED BROADBAND, LLC",Active,Contacted,COLLECTION TEAM,BI-WEEKLY,5/19/2026,Jen responded to yesterdays email Said when they have a check ready and she wil call me to pick up ,,,,1
Bryce,O .C.,HP COMMUNICATION (SOUTHERN CALIFORNIA),Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,victoria is working on it,,1/15/2025,"There are invoices in here that are not OC, there is one for fresno and 1 for AG .(Seth) The OC invoice, we are actively working with Gretchen to get the payment made for $1,169.52. Hope to have resolved asap. (Ashley)- Gretchen stated that this should be paid out on 03.10.2025 (Ashley)",49
Sylvia,Fresno,MOMENTUM SERVICES CORPORATION DBA S2M,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,4/24/2026,"$790.00 Ck-44832 payment out last week, per Cindy, account paid in full (fresno account)",,,,26
Sylvia,Fresno,Crawford Construction,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,emailed update balance report to Nathaniel after payment last week.,,,,1
Sylvia,Fresno,BMY,Active,Pending CPR,COLLECTION TEAM,WEEKLY,5/19/2026,"Ali responded to email, Conditional in Progress Release needs to be signed and returned, done by Victoria.  (fresno account)",,,,1
Sylvia,Fresno,EFRAIN YANEZ CONSTRUCTION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/18/2026,"emailed balance report to Pricilla, also asking for payment on those April invoices (fresno account)",,,,2
Sylvia,Visalia / Modesto,"AFFILIATED TECHNOLOGY, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,following up with Mike/Lain by email regarding payment information on the April-11 invoice,,,,5
Sylvia,Fresno / Visalia,WIRING CONNECTIONS INC.(Visalia/Fresno),Active,Contacted,COLLECTION TEAM,WEEKLY,4/17/2026,0 bal,,,,33
Sylvia,,T&T PAVEMENT MARKING,Active,Contacted,COLLECTION TEAM,WEEKLY,3/13/2026,"left message for Jessica with Anan, see if invoices received N (Fresno)",,,,68
Sylvia,Fresno,ASPHALT DESIGN,Active,Contacted,COLLECTION TEAM,WEEKLY,1/30/2026,"email Jessica, asking if that Jan invoice was recevied and approved, waiting for response",,,,110
Sylvia,fresno,BOOT,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,following up with Heather regarding payment on the March invoice. (fresno account), ,,,5
Josie,Modesto ,APEX SITE SOLUTIONS,Active,Paid,COLLECTION TEAM,WEEKLY,5/19/2026,Debbie emailed back said she has the two invoices entered asked if those were the ones i was asking about Emailed Debbie asking if she had recevied yesterday's email ,,,,1
Josie,Bakersfield ,TURNER TRANS LIFT INC.,Active,Uncollectable,DO NOT CONTACT!,DO NOT CALL!,10/3/2025,Do not call we owe them ,,,,229
Josie,Fresno ,"TESORO CONTRACTORS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,Spoke with Luis said that he was not sure if he had the invoice emailed to him said he should be able to pay since he got paid ,,,,1
Sylvia,Fresno ,MEDINA CONSTRUCTION ENGINEERING,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/2/2026,"trying calling customer Ramiro again see if someone available but no answer ""write off $1,757.20 for September of 2024 invoices""",,12-04-24,hammer-not able to get a hold of Ramiro or Laura (4/7/25 lui) called not getting a response. hammer is getting nothing and the bussiness is a home. recoment to go see in person or send to collections,107
Lui,Bakersfield / Fresno ,W. M. LYLES CO.,Active,Union Letter,VP/HIGH LEVEL,WEEKLY,3/5/2026,requested update on payment,,1/7/25,Called and left Karen a vm regarding open invoices. Also sent her an email requesting an update on payment status. Per weekly conversations with her they are waiting on info from our certified payroll dept before they can release payment. (Not Visalia's),76
Sylvia,Fresno,QUIRING GENERAL LLC,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,4/13/2026,"$3,375.00 or $8,000 check ready for pick up per Robin, Fresno to pick up payment",,,,37
Sylvia,Fresno,"ZUMWALT CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Fresno,ROY ALLAN SLURRY SEAL INC,Active,Contacted,COLLECTION TEAM,WEEKLY,4/24/2026,"Minni asking for ACH information, payment next week for the March-17 invoice for $1,100.00",,,,26
Sylvia,Fresno,CITY OF FRESNO WASTEWATER,Active,Contacted,COLLECTION TEAM,WEEKLY,5/20/2026,"Mairen responded to email, said payment in another 2-weeks for the remaining of March invoices ( fresno account)",,,,0
Sylvia,Modesto,"ROSS F. CARROLL, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/17/2026,"$5,895.48 Ck-14580 out last week, forgot to registered here, Account current now. we should recieved check any time soon.",,1/14/25,(DH) Reached out to Mike and Anna.  Haven't received a response.,33
Sylvia,fresno,WILLBANKS ENVIRONMENTAL,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,left Linda a message see if payment for that invoices next week.,,,,19
Sylvia,Fresno,COMMERCIAL CONTRACTING,Active,Contacted,COLLECTION TEAM,WEEKLY,5/20/2026,"left message for Kimberly, see if payment out this week like promise. waiting on a response. (fresno account)",,,,0
Josie,Modesto,TEN WEST INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,Called Sara  left message regarding payment ,,,,1
Bryce,Modesto / Visalia / AG / OC / Bakersfield ,TURN AROUND COMMUNICATIONS,Active,Contacted,COLLECTION TEAM,WEEKLY,4/20/2026,sent open balace report,,,,30
Josie,A.G.,RAILWORKS TRACK SYSTEMS LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,Payment will go out end of month ,,,,1
Sylvia,Visalia,PACIFIC UTILITY PIPELINE INC,Active,Contacted,COLLECTION TEAM,WEEKLY,4/22/2026,"$216.72 with check last week. per Denise, another payment on April-27",,,,28
Sylvia,Fresno,CHRISTENSEN CONSTRUCTION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/18/2026,following up with Jordan regarding payent on the April-11 invoice.,,,,2
Sylvia,,"HDR ENGINEERING, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,10/14/2025,"Jessica email asking if there will be more invoices comming up related to project- KHA Sonoma Airport Blvd, asking Hammer for help, I dont know who the manager is for the Project, it doe not said on our TCR system. ",,,,218
Sylvia,Fresno,LASAR CONSTRUCTION,Active,Contacted,COLLECTION TEAM,MONTHLY,4/27/2026,"Kirstin replied said all invoices received, This is a Monthly Account............follow up next month for Payment.",,,,23
Sylvia,Fresno,INDUSTRIAL ELECTRIC COMPANY,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/2/2026,"another attempt to call Berry-owner but nothing no communication; ""write off $1,051.82 for May of 2024 invoice""",,,,107
Sylvia,Fresno ,"NORTH SKY COMMUNICATIONS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,following up by phone to see if all invoices received.,,,,19
Sylvia,Fresno,VULCAN MATERIALS - AUSTIN QUARRY,Active,Contacted,COLLECTION TEAM,WEEKLY,3/5/2026,"$3,230.00 with ACH Yesterday 3-4-26 for 2 January invoices, account current now, another payment hope by March-20th (fresno account)",,5/7/26,Reached out to Cisco.  Hoping to receive a response asap,76
Sylvia,Fresno,"UNDERGROUND BORING SYSTEMS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,2/19/2026,"Accounting email asking for Releses for jobs on Herdon/Fowler Ave and Willo Ave, forward email to Victoria.",,,,90
Sylvia,Fresno,"CENCAL DEMOLITION, INC",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/18/2026,"$1,800.00 Ck-18483, payment out last week for those April invoices per Shannon. (fresno account)",,,,2
Josie,Bakersfield ,BAKERSFIELD HOUSE ACCOUNT,Active,Uncollectable,COLLECTION TEAM,WEEKLY,3/18/2026,Asling for update on the invoices that are open and not paid waiting on response ,,,,63
Josie,Bakersfield ,UNITED RENTALS TRENCH SAFETY,Active,Contacted,COLLECTION TEAM,WEEKLY,5/20/2026,Spoke with Victoria said the remainder is to be written off ,,,,0
Josie,Bakersfield ,STAGE FRIGHT CLOTHING LLC.,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/5/2026,Called Salvador never answer or replies when he did he said he does not owe,,,,104
Sylvia,Fresno,MATTOS UNDERGROUND,Active,Contacted,COLLECTION TEAM,WEEKLY,4/20/2026,"Kelly replied back, Check $6,552.80 on the mail last Friday, check should be here soon,",,,,30
Lui,Sacramento / Modesto ,MASTEC SACRAMENTO ATT.,Active,Contacted,DO NOT CONTACT!,PORTAL,4/1/2026,jordan working on it ,,,,49
Sylvia,Fresno,ALMA'S BUY & SELL,Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2026,"left message for Trois, see if April invoices were received. (visalia job)",,,,20
Josie,Bakersfield,S AND S CONTRACTING,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/5/2026,The notes stay that Erika does not owe called no answer ,,06-30-25,***par nick they will pay all open invoices*** ,104
Sylvia,Fresno,"1 OAK CONSTRUCTION, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,"emailed balance report to Stephanie, asking for payment information on the Marh-28th invoice (fresno account)",,,,5
Sylvia,Fresno,BRASWELL,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,"calling Emily for payment on this account, (fresno account)",,,,5
Sylvia,Visalia,"TRAVIOLI CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/23/2026,"calle d customer left message see if April invoices received, (Visalia account)",,,,27
Sylvia,Fresno,"QUALITY TELECOM CONSULTANTS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/23/2026,email balance report to Accounting see if April invoices recived. (fresno account),,,,27
Sylvia,Bakersfield,WATTENBARGER,Active,Contacted,COLLECTION TEAM,WEEKLY,4/24/2026,"following up by email thread with Manny again, also left a message regarding the Feb-14 invoice for $395.00 (bakersfield account)",,,,26
Sylvia,,"DULEY'S LANDSCAPING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Fresno,CM CORP.,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/12/2026,"melissa email, payment last week for those 2 invoices.",,,,8
Lui,Bakersfield / OC / ,GRIFFITH COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,ashley responded with update. trying to get joint checks.,,,,37
Josie,Bakersfield ,Baize Electric,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/3/2026,This customer never answers at one time it was mention that was going to be written off  called one last time no answer ,,,,106
Sylvia,,Joseph Crown Construction and Development,Active,Contacted,COLLECTION TEAM,WEEKLY,12/22/2025,"$504.00 payment today w/credit card, per Monica",,,,149
Sylvia,Fresno,CITY OF CLOVIS,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,Hector will void invoice #00104853 account cleared (fresno ccount),,,,1
Sylvia,Fresno ,MEDINA CONSTRUTION ENGINEERING,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/2/2026,"trying calling customer Ramiro again see if someone available no answer ""write off $244.86 for August of 2024 invoice""",,,,107
Sylvia,Fresno,DAWSON-MAULDIN CONSTRUCTION,Active,Uncollectable,MOTION TO WRITE OFF,write off,2/3/2026,"calling customer again Christine no answer ""write off $168.00 for October of 2024 invoices""",,,,106
Sylvia,,STOCKBRIDGE GENERAL CONTRACTING,Active,Uncollectable,BRANCH MANAGER,write off,1/28/2026,"emailed Jennifer Balance Report, asking for payment information on the April-12 invoice, waiting for a response",,,,112
Josie,Bakersfield,"GILLIAM & SONS, INC.",Active,Uncollectable,MOTION TO WRITE OFF,write off,7/24/2025,(lui) customer not paying. sending to collections.,,,,300
Sylvia,Modesto / Fresno,"INNERLINE ENGINEERING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,"Taylor replied, said working on payment for this week, she will let me know ones those invoices get processed.",,,,37
Sylvia,Bakersfield,USA DIRECTIONAL BORE,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,Ofelia seid invoices will be approve by next week.,,,,19
Lui,Bakersfield,COUNTY OF KERN- ROADS DEPARTMENT,Active,Uncollectable,VP/HIGH LEVEL,write off,12/4/2025,requested update on the invoice that the customer is saying they dont owe,,,,167
Sylvia,Fresno,FRESNO HOUSE ACCOUNT,Active,Contacted,COLLECTION TEAM,WEEKLY,3/25/2025,"after talking with Hector/Hammer/Yareli, said customer paid w/credit card on 3-25-25, got with Victoira she fould payment under expenses, Done Invoice clear PAID",,,,421
Lui,Modesto / Fresno / Visalia,"GOLDEN VALLEY PIPELINE, INC.",Active,Uncollectable,VP/HIGH LEVEL,write off,11/17/2025,sent open balance report ,,,,184
Josie,Bakersfield,FARIAS REMODELING & CONCRETE,Active,Uncollectable,COLLECTION TEAM,write off,2/5/2026,NO contact wilth Salvodr ,,,,104
