"Entity","Branch","Code","Active","Allow Empty Code"
"INC","Visalia","INC-VI","Yes","No"
"INC","Bakersfield","INC-BF","Yes","No"
"INC","Fresno","INC-FR","Yes","No"
"INC","Modesto","INC-MO","Yes","No"
"INC","Orange County","INC-OC","Yes","No"
"INC","Arroyo Grande","INC-ARR","Yes","No"
"INC","Sacramento","INC-SAC","Yes","No"
"TCS","Arroyo Grande","TCS-ARR","Yes","No"
"TCS","Orange County","TCS-OC","Yes","No"
"TCS","Modesto","TCS-MO","Yes","No"
"TCS","Fresno","TCS-FR","Yes","No"
"TCS","Bakersfield","TCS-BF","Yes","No"
"TCS","Visalia","TCS-VI","Yes","No"
"TCS","Sacramento","TCS-SAC","Yes","No"
"STS","Arroyo Grande","STAOP","Yes","No"
"STS","Orange County","STOOP","Yes","No"
"STS","Bakersfield","STBOP","Yes","No"