Raw Payroll Item,Group,Hourly,Entity Scope
"(COC) Prevailing Wage","Standard Time",Yes,"Global"
"(COC) Prevailing Wage OT","Overtime",Yes,"Global"
"Administrative (PAID)","Standard Time",Yes,"Global"
"Apprentice Travel TIme","Standard Time",Yes,"Global"
"Bonus","Other",No,"Global"
"Bonus hours","Other",No,"Global"
"CA  EXTRA FUTA","Taxes",No,"Global"
"CA - Employment Training Tax","Taxes",No,"Global"
"CA - Unemployment Company","Taxes",No,"Global"
"CAC TRAINING NOR CAL FRINGES","Fringes",No,"Global"
"CAC TRAINING SO CAL FRINGES","Fringes",No,"Global"
"Cell Phone Reimbursement","Reimbursement",No,"Global"
"Double Time Hourly Rate","Double-time",Yes,"Global"
"DT Prevailing Wage","Double-time",Yes,"Global"
"EBAC NOR CAL FRINGES","Fringes",No,"Global"
"EBAC SO CAL FRINGES","Fringes",No,"Global"
"Emergency On-Call","Double-time",Yes,"Global"
"ER Paid Benefits","Other",No,"Global"
"Federal Unemployment","Taxes",No,"Global"
"Flagging/DT Prevailing Wage","Double-time",Yes,"Global"
"Flagging/OT Prevailing Wage","Overtime",Yes,"Global"
"Flagging/Prevailing Wage","Standard Time",Yes,"Global"
"Gas Allowance","Other",No,"Global"
"Holiday Rate","Standard Time",Yes,"Global"
"Hourly","Standard Time",Yes,"Global"
"Hourly Rate","Standard Time",Yes,"Global"
"Incentive","Other",No,"Global"
"Journeyman Travel Time","Standard Time",Yes,"Global"
"Lunch~Compensation","Lunch Comp",Yes,"Global"
"Management Bonus Goal","Other",No,"Global"
"Management Car Allowance 1","Other",No,"Global"
"Management Incentive","Other",No,"Global"
"Management Salary","Salary",Yes,"Global"
"Management-Car Allowance","Other",No,"Global"
"Management-Monthly Commission","Other",No,"Global"
"Management-Salary Vacation","Salary",Yes,"Global"
"Medicare Company","Taxes",No,"Global"
"Monthly Bonus","Other",No,"Global"
"NO CAL FRINGES - OTHER","Fringes",No,"Global"
"NO. Apprentice  Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice  OT Labor Rate","Overtime",Yes,"Global"
"NO. Apprentice 1 DT Labor Rate","Double-time",Yes,"Global"
"NO. Apprentice 1 Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice 1 OT Labor Rate","Overtime",Yes,"Global"
"NO. Apprentice 2  Labor Rate","Standard Time",Yes,"Global"
"No. Apprentice 2 DT Labor Rate","Double-time",Yes,"Global"
"NO. Apprentice 2 Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice 2 OT Labor Rate","Overtime",Yes,"Global"
"NO. Apprentice 3  Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice 3 DT Labor Rate","Double-time",Yes,"Global"
"NO. Apprentice 3 Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice 3 OT Labor Rate","Overtime",Yes,"Global"
"NO. Apprentice 4  Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice 4 DT Labor Rate","Double-time",Yes,"Global"
"NO. Apprentice 4 Labor Rate","Standard Time",Yes,"Global"
"NO. Apprentice 4 OT Labor Rate","Overtime",Yes,"Global"
"NO. Apprentice DT Labor Rate","Double-time",Yes,"Global"
"NO. Apprentice OT Labor Rate","Overtime",Yes,"Global"
"No. Flagging/Hourly Rate/App 1","Standard Time",Yes,"Global"
"No. Flagging/OT Rate/App 1","Overtime",Yes,"Global"
"NO. Journeyman DT Labor Rate","Double-time",Yes,"Global"
"NO. Journeyman TCP 1 DT Rate B","Double-time",Yes,"Global"
"NO. Journeyman TCP 1 OT Rate B","Overtime",Yes,"Global"
"NO. Journeyman TCP 1 Rate B","Standard Time",Yes,"Global"
"NO. Journeyman TCP-1 Rate A","Standard Time",Yes,"Global"
"NO. Journeyman TCP-DT Rate A","Double-time",Yes,"Global"
"NO. Journeyman TCP-OT Rate  A","Overtime",Yes,"Global"
"NO. Journeyman TCP-OT Rate A","Overtime",Yes,"Global"
"NO. Lunch Comp.","Lunch Comp",Yes,"Global"
"Nor Cal - CAC Training","Fringes",No,"Global"
"Nor Cal - Fringes Paid to EBAC","Fringes",No,"Global"
"Nor Cal -Fringes Paid to EBAC","Fringes",No,"Global"
"Nor Cal Union Fringes-","Fringes",No,"Global"
"Nor Cal-Doubletime Hourly Rate","Double-time",Yes,"Global"
"Nor Cal-Holiday Rate","Standard Time",Yes,"Global"
"Nor Cal-Holiday Worked","Standard Time",Yes,"Global"
"Nor Cal-Hourly Rate","Standard Time",Yes,"Global"
"Nor Cal-Lunch~Compensation","Lunch Comp",Yes,"Global"
"Nor Cal-Overtime Hourly Rate","Overtime",Yes,"Global"
"Nor Cal-Sick Hourly Rate","Paid Leave",No,"Global"
"Nor Cal-Vacation Hourly Rate","Paid Leave",No,"Global"
"Nor Cal/ER Paid Benefit 6%","Other",No,"Global"
"NorCal Prevailing Wage","Standard Time",Yes,"Global"
"NorCal Prevailing Wage DT","Double-time",Yes,"Global"
"NorCal Prevailing Wage OT","Overtime",Yes,"Global"
"ODMP-NON UNION","Lunch Comp",Yes,"Global"
"ODMP-UNION","Lunch Comp",Yes,"Global"
"Officer Bonus","Other",No,"Global"
"On Call","Other",No,"Global"
"OTHER NOR CAL FRINGES NON-UNION","Fringes",No,"Global"
"OTHER NOR CAL FRINGES NON-UNON","Fringes",No,"Global"
"OTHER SO CAL FRINGES NON-UNION","Fringes",No,"Global"
"Overtime (x1.5) hourly","Overtime",Yes,"Global"
"Overtime Hourly Rate","Overtime",Yes,"Global"
"Overtime Rate","Overtime",Yes,"Global"
"Per Deim","Per Diem",No,"Global"
"PER DEIM - FLAT RATE","Per Diem",No,"Global"
"Per Diem","Per Diem",No,"Global"
"Per Diem 2","Per Diem",No,"Global"
"Qualified OT Tracking","Taxes",No,"Global"
"Reimburse Mileage","Reimbursement",No,"Global"
"Reimburse Receipts","Reimbursement",No,"Global"
"Reimbursement","Reimbursement",No,"Global"
"Salary","Salary",Yes,"Global"
"Sick Hourly Rate","Paid Leave",No,"Global"
"So Cal - CAC Training","Fringes",No,"Global"
"So Cal - OT Hourly Rate","Overtime",Yes,"Global"
"SO CAL DT HOURLY DIFF","Double-time",Yes,"Global"
"So Cal DT Rate","Double-time",Yes,"Global"
"So Cal Flg PW Lunch","Lunch Comp",Yes,"Global"
"So Cal Fringes Paid to EBAC","Fringes",No,"Global"
"So Cal Fringes-","Fringes",No,"Global"
"SO CAL FRINGES-OTHER","Fringes",No,"Global"
"SO CAL HOURLY DIFFERENTIAL","Standard Time",Yes,"Global"
"So Cal Hourly Rate","Standard Time",Yes,"Global"
"SO CAL LUNCH COMP","Lunch Comp",Yes,"Global"
"SO CAL OT HOURLY DIFF","Overtime",Yes,"Global"
"So Cal OT Rate","Overtime",Yes,"Global"
"SO CAL VAC","Paid Leave",No,"Global"
"SO CAL VAC.","Paid Leave",No,"Global"
"So Cal-DT Hourly Rate","Double-time",Yes,"Global"
"So Cal-Holiday Rate","Standard Time",Yes,"Global"
"So Cal-Hourly Rate","Standard Time",Yes,"Global"
"So Cal-Sick","Paid Leave",No,"Global"
"So Cal-Sick Hourly Rate","Paid Leave",No,"Global"
"So. Flagging Apprentice 1","Standard Time",Yes,"Global"
"So. Flagging Apprentice 2","Standard Time",Yes,"Global"
"So. Flagging Apprentice 3","Standard Time",Yes,"Global"
"So. Flagging Apprentice 4","Standard Time",Yes,"Global"
"So. Flagging Apprentice 6","Standard Time",Yes,"Global"
"So. Flagging/Apprentice 5","Standard Time",Yes,"Global"
"So. Flagging/DT Apprentice 1","Double-time",Yes,"Global"
"So. Flagging/DT Apprentice 2","Double-time",Yes,"Global"
"So. Flagging/DT Apprentice 3","Double-time",Yes,"Global"
"So. Flagging/DT Apprentice 4","Double-time",Yes,"Global"
"So. Flagging/DT Apprentice 5","Double-time",Yes,"Global"
"So. Flagging/DT Apprentice 6","Double-time",Yes,"Global"
"So. Flagging/DT Prevailing Wage","Double-time",Yes,"Global"
"So. Flagging/OT Apprentice 1","Overtime",Yes,"Global"
"So. Flagging/OT Apprentice 2","Overtime",Yes,"Global"
"So. Flagging/OT Apprentice 3","Overtime",Yes,"Global"
"So. Flagging/OT Apprentice 4","Overtime",Yes,"Global"
"So. Flagging/OT Apprentice 5","Overtime",Yes,"Global"
"So. Flagging/OT Apprentice 6","Overtime",Yes,"Global"
"So. Flagging/OT Prevailing Wage","Overtime",Yes,"Global"
"So. Flagging/Prevail/Appren/OT","Overtime",Yes,"Global"
"So. Flagging/Prevailing Wage","Standard Time",Yes,"Global"
"Social Security Company","Taxes",No,"Global"
"Truck Fueling","Other",No,"Global"
"UNION NOR CAL FRINGES A1","Fringes",No,"Global"
"UNION NOR CAL FRINGES A2-J","Fringes",No,"Global"
"Union So Cal  FLG-CERT DT HR","Double-time",Yes,"Global"
"Union So Cal FLG-CERT DT HR","Double-time",Yes,"Global"
"UNION SO CAL FRINGES A1-8","Fringes",No,"Global"
"UNION SO CAL FRINGES J","Fringes",No,"Global"
"Union So Cal Fringes-","Fringes",No,"Global"
"UNION SO CAL GCW DT HOURLY RATE","Double-time",Yes,"Global"
"UNION SO CAL GCW FRINGES","Fringes",No,"Global"
"Union So Cal GCW Fringes-","Fringes",No,"Global"
"UNION SO CAL GCW HOURLY RATE","Standard Time",Yes,"Global"
"UNION SO CAL GCW OT HOURLY RATE","Overtime",Yes,"Global"
"Union So Cal Lunch Comp","Lunch Comp",Yes,"Global"
"Union So Cal PW Lunch Comp","Lunch Comp",Yes,"Global"
"UNION SO CAL TCW FRINGES","Fringes",No,"Global"
"Union So Cal TCW Fringes-","Fringes",No,"Global"
"UNION SO CAL TCW4 HOURLY RATE","Standard Time",Yes,"Global"
"UNION SO CAL TCW4 OT HR","Overtime",Yes,"Global"
"Union So. Cal  FLG-CERT OT HR","Overtime",Yes,"Global"
"Union So. Cal App 2 DT Rate","Double-time",Yes,"Global"
"Union So. Cal App 2 Hourly Rate","Standard Time",Yes,"Global"
"Union So. Cal App 2 OT Rate","Overtime",Yes,"Global"
"Union So. Cal App 3 DT rate","Double-time",Yes,"Global"
"Union So. Cal App 3 Hourly Rate","Standard Time",Yes,"Global"
"Union So. Cal App 3 OT Rate","Overtime",Yes,"Global"
"Union So. Cal Apprentice 1","Standard Time",Yes,"Global"
"Union So. Cal Apprentice 1 DT","Double-time",Yes,"Global"
"Union So. Cal Apprentice 1 OT","Overtime",Yes,"Global"
"Union So. Cal Apprentice 4","Standard Time",Yes,"Global"
"Union So. Cal Apprentice 4 DT","Double-time",Yes,"Global"
"Union So. Cal Apprentice 4 OT","Overtime",Yes,"Global"
"Union So. Cal Apprentice 5","Standard Time",Yes,"Global"
"Union So. Cal Apprentice 5 DT","Double-time",Yes,"Global"
"Union So. Cal Apprentice 5 OT","Overtime",Yes,"Global"
"Union So. Cal FLG-CERT HR","Standard Time",Yes,"Global"
"Union So. Cal FLG-CERT OT HR","Overtime",Yes,"Global"
"Union So. Cal GCW DT Hourly Rat","Double-time",Yes,"Global"
"Union So. Cal GCW Hourly Rate","Standard Time",Yes,"Global"
"Union So. Cal GCW OT Hourly Rat","Overtime",Yes,"Global"
"Union So. Cal TCW4 DT Hourly Ra","Double-time",Yes,"Global"
"Union So. Cal TCW4 Hourly Rate","Standard Time",Yes,"Global"
"Union So. Cal TCW4 OT HR","Overtime",Yes,"Global"
"Union So. Cal- App 6 DT","Double-time",Yes,"Global"
"Union So. Cal-App 6 Hourly Rate","Standard Time",Yes,"Global"
"Union So. Cal-App 6 OT","Overtime",Yes,"Global"
"Vacation Hourly Rate","Paid Leave",No,"Global"
"Workers Compensation","Taxes",No,"Global"